FID,parada,descricao,situacao,estrutura_de_paragem,tipo,geo_ponto_rede_pto
Paradas de onibus.fid-70332a8e_1869e51a008_437e,3166,LADO OPOSTO A Q. 54 CASA 12 13 DE MAIO,ATIVA,SEM ESTRUTURA,Placa,POINT (214844.48265717784 8271025.237323825)
Paradas de onibus.fid-70332a8e_1869e51a008_437f,7034,LADO OPOSTO AO COLÉGIO BARÃO DO RIO BRANCO,ATIVA,SEM ESTRUTURA,Padrão,POINT (204201.34530540832 8256540.257488537)
Paradas de onibus.fid-70332a8e_1869e51a008_4380,2976,LADO OPOSTO AO CONDOMINIO LA FONT - KM 4 DF 250,ATIVA,SEM ESTRUTURA,Padrão,POINT (205927.48459222732 8255812.024636667)
Paradas de onibus.fid-70332a8e_1869e51a008_4381,2978,EM FRENTE AO CONDOMINIO MANSOES ENTRE LAGOS DF 250,ATIVA,SEM ESTRUTURA,Padrão,POINT (204919.11012133682 8256439.200582367)
Paradas de onibus.fid-70332a8e_1869e51a008_46da,2977,EM FRENTE A CHACARAS RURAIS EULER APARANHOS DF 250,ATIVA,SEM ESTRUTURA,Padrão,POINT (205662.29656580015 8255978.445634044)
Paradas de onibus.fid-70332a8e_1869e51a008_46db,6411,DF 250 ( PRÓXIMO AO COD. ENTRE LAGOS),ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (205173.12299102018 8256291.646308854)
Paradas de onibus.fid-70332a8e_1869e51a008_46dc,7798,DF 250 - KM 03 - COORDENA��O DE ENSINO PARANO� - SITIO ROSAS - SH JARDIM,ATIVA,,Tipo C,POINT (204090.02582330006 8256535.619466461)
Paradas de onibus.fid-70332a8e_1869e51a008_46dd,2883,EM FRENTE AO CONDOMINIO LA FONT - KM 4 DF 250,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (205985.4029841689 8255751.640484221)
Paradas de onibus.fid-70332a8e_1869e51a008_46de,6412,DF 250 ( PRÓXIMO AO COD. ENTRE LAGOS),ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (205160.78717515024 8256265.842950887)
Paradas de onibus.fid-70332a8e_1869e51a008_46df,2979,EM FRENTE AO CONDOMINIO NOVO HORIZONTE DF 250,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (204466.62840892997 8256580.671347723)
Paradas de onibus.fid-70332a8e_1869e51a008_46e0,2882,EM FRENTE A FONTE CERRADO INDAIA DF 250,ATIVA,ACOSTAMENTO OU BAIA,Habitual,POINT (205667.24692118907 8255955.184491468)
Paradas de onibus.fid-70332a8e_1869e51a008_46e1,2881,LADO OPOSTO AO CONDOMINIO MANSOES ENTRE LAGOS DF 250,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (204888.8628480286 8256429.074067792)
Paradas de onibus.fid-70332a8e_1869e51a008_46e2,2880,LADO OPOSTO AO CONDOMINIO NOVO HORIZONTE DF 250,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (204474.9415927892 8256554.728212779)
Paradas de onibus.fid-70332a8e_1869e51a008_46e3,7552,DF 430 - Agropecu�ria Terra Forte,ATIVA,,Tipo C,POINT (160961.92098255112 8265391.059701217)
Paradas de onibus.fid-70332a8e_1869e51a008_46e4,7553,DF 430 -  Ch�cara Provid�ncia,ATIVA,,Tipo C,POINT (160292.82306166383 8265354.590438052)
Paradas de onibus.fid-70332a8e_1869e51a008_46e5,1154,LADO OPOSTOESCOLA CLASSE BUCANHAO - FEDF DF 415,ATIVA,SEM ESTRUTURA,Habitual,POINT (160141.02311104262 8268715.134660269)
Paradas de onibus.fid-70332a8e_1869e51a008_46e6,1153,ESCOLA CLASSE BUCANHAO - FEDF DF 415,ATIVA,SEM ESTRUTURA,Habitual,POINT (160128.39112044248 8268692.07403203)
Paradas de onibus.fid-70332a8e_1869e51a008_46e7,1151,FAZEDINHA DOM BOSCO DF 415,ATIVA,SEM ESTRUTURA,Habitual,POINT (159475.02973523363 8268413.452544249)
Paradas de onibus.fid-70332a8e_1869e51a008_46e8,1152,LADO OPOSTO A FAZENDINHA DOM BOSCO DF 415,ATIVA,SEM ESTRUTURA,Tipo C,POINT (159470.64554400713 8268446.412643853)
Paradas de onibus.fid-70332a8e_1869e51a008_46e9,1157,SITIO BETEL DF 415,ATIVA,SEM ESTRUTURA,Habitual,POINT (161035.30649471818 8269044.737982995)
Paradas de onibus.fid-70332a8e_1869e51a008_46ea,1158,LADO OPOSTO AO SITIO BETEL DF 415,ATIVA,SEM ESTRUTURA,Habitual,POINT (161041.3130139673 8269061.0528046265)
Paradas de onibus.fid-70332a8e_1869e51a008_46eb,1156,LADO OPOSTO AO ACAMPAMENTO EVANGELICO DF 415,ATIVA,SEM ESTRUTURA,Habitual,POINT (160686.77909516072 8268926.399070677)
Paradas de onibus.fid-70332a8e_1869e51a008_46ec,1155,ACAMPAMENTO EVANGELICO DF 415,ATIVA,SEM ESTRUTURA,Habitual,POINT (160683.3814867172 8268910.604882448)
Paradas de onibus.fid-70332a8e_1869e51a008_46ed,3517,EQN 513/514 W3 NORTE,ATIVA,ACOSTAMENTO OU BAIA,Tradicional,POINT (189651.87968091277 8256865.893322604)
Paradas de onibus.fid-70332a8e_1869e51a008_46ee,3473,SQN 113 EIXO W NORTE,ATIVA,ACOSTAMENTO OU BAIA,Tradicional,POINT (190317.96380669097 8256920.718193088)
Paradas de onibus.fid-70332a8e_1869e51a008_46ef,1097,KM 20 - AO LADO DA EXPANSAO DE BRAZLANDIA DF 180,ATIVA,ACOSTAMENTO OU BAIA,Habitual,POINT (156539.78660261477 8265586.548410708)
Paradas de onibus.fid-70332a8e_1869e51a008_46f0,1098,ASSENTAMENTO BRAZLANDIA N 48 DF 180,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (156588.63592570875 8266125.95145895)
Paradas de onibus.fid-70332a8e_1869e51a008_46f1,1113,LADO OPOSTO ASSENTAMENTO BRAZLANDIA N 48 DF 180,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (156568.29793852335 8266088.246411532)
Paradas de onibus.fid-70332a8e_1869e51a008_46f2,1114,LADO OPOSTO EXPANSAO DE BAZLANDIA DF 180,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (156524.2863119662 8265592.899878531)
Paradas de onibus.fid-70332a8e_1869e51a008_46f3,2368,QI 5 CONJ B LOTE 4 VARJAO,ATIVA,SEM ESTRUTURA,Habitual,POINT (191600.51390667277 8260993.699456964)
Paradas de onibus.fid-70332a8e_1869e51a008_46f4,2291,SHIN APOS ENTRADA DA QI/QL 4 EPPN,ATIVA,ACOSTAMENTO OU BAIA,Fibra de Vidro,POINT (191601.95464653883 8259415.605931112)
Paradas de onibus.fid-70332a8e_1869e51a008_46f5,2321,SHIN QI 01 EPPN,ATIVA,ACOSTAMENTO OU BAIA,Fibra de Vidro,POINT (191513.4006051437 8259527.257730971)
Paradas de onibus.fid-70332a8e_1869e51a008_46f6,1089,INCRA 06 - APOS A ESCOLA CLASSE DF 180,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (157700.22499390627 8258570.557264816)
Paradas de onibus.fid-70332a8e_1869e51a008_46f7,1087,KM 29 - EM FRENTE A PAMONHARIA MINEIRA DF 180,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (159096.01138266895 8258275.515935741)
Paradas de onibus.fid-70332a8e_1869e51a008_46f8,1088,ANTES ENTRADA VC 547 - CASA DO CAMINHO KM 12 DF 180,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (158476.92871289086 8258270.390073341)
Paradas de onibus.fid-70332a8e_1869e51a008_46f9,1124,LADO OPOSTO ENTRADA VC 547 DF 180,ATIVA,ACOSTAMENTO OU BAIA,Habitual,POINT (158511.43929648126 8258254.442928387)
Paradas de onibus.fid-70332a8e_1869e51a008_46fa,1123,ANTES DA ESCOLA CLASSE INCRA 06 DF 180,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (157708.75726667864 8258502.364179048)
Paradas de onibus.fid-70332a8e_1869e51a008_46fb,1125,KM 29 - LADO OPOSTO A PAMONHARIA MINEIRA DF 180,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (159030.76122948487 8258254.621688014)
Paradas de onibus.fid-70332a8e_1869e51a008_46fc,1214,LADO OPOSTO A FAZ. MACNAMARA DFF 220,ATIVA,SEM ESTRUTURA,Habitual,POINT (159675.630077855 8271973.940068239)
Paradas de onibus.fid-70332a8e_1869e51a008_46fd,1211,INSTITUTO TEOSOFICO PARAISO NA TERRA DFF 220,ATIVA,SEM ESTRUTURA,Habitual,POINT (161339.32628121992 8272526.840845076)
Paradas de onibus.fid-70332a8e_1869e51a008_46fe,1213,FAZENDA MACNAMARA DFF 220,ATIVA,SEM ESTRUTURA,Habitual,POINT (159689.35242458404 8271990.844151926)
Paradas de onibus.fid-70332a8e_1869e51a008_46ff,1212,LADO OPOSTO AO INSTITUTO DFF 220,ATIVA,SEM ESTRUTURA,Habitual,POINT (161318.02083120268 8272508.854015681)
Paradas de onibus.fid-70332a8e_1869e51a008_4700,4532,ENTRONCAMANTO DF251/BR 040 ENTRANDO NA RODOVIA DF 251/001,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (180104.55788318662 8231352.503674388)
Paradas de onibus.fid-70332a8e_1869e51a008_4701,4530,LADO OPOSTO AREA ALFA DA MARINHA DF 251/001,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (181026.71306978352 8231562.931346385)
Paradas de onibus.fid-70332a8e_1869e51a008_4702,8018,DF 001 – Próximo a entrada Área da Marinha,ATIVA,,Tipo C,POINT (181112.35948817682 8231574.643352306)
Paradas de onibus.fid-70332a8e_1869e51a008_4703,6341,Entrocamento com a BR 040  - Sentido Santa Maria DF - 001,ATIVA,SEM ESTRUTURA,Padrão,POINT (179719.53332388506 8231266.289917304)
Paradas de onibus.fid-70332a8e_1869e51a008_4704,4535,EM FRENTE AO DNIT BR-040,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (179967.05733461288 8230955.541436251)
Paradas de onibus.fid-70332a8e_1869e51a008_4705,4533,AREA ALFA DA MARINHA DF 251/001,ATIVA,ACOSTAMENTO OU BAIA,Habitual,POINT (181070.61302411044 8231562.538885192)
Paradas de onibus.fid-70332a8e_1869e51a008_4706,4534,EM FRENTE A ESTACAO RADIO MARINHA BR-040,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (179966.0551165843 8231475.604710188)
Paradas de onibus.fid-70332a8e_1869e51a008_4707,4546,LADO OPOSTO AO DNIT BR-040,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (180060.38267385832 8231015.5027757175)
Paradas de onibus.fid-70332a8e_1869e51a008_4708,4531,ENTRONCAMANTO DF251/BR 040 SAINDO DA RODOVIA DF 251/001,ATIVA,ACOSTAMENTO OU BAIA,Habitual,POINT (180091.15568064858 8231377.191744804)
Paradas de onibus.fid-70332a8e_1869e51a008_4709,6342,Entrocamento com a BR 040  - Sentido Recanto das Emas DF - 001,ATIVA,SEM ESTRUTURA,Padrão,POINT (179723.301026706 8231324.767599316)
Paradas de onibus.fid-70332a8e_1869e51a008_470a,2502,PROXIMO A QI 01 LADO OPOSTO AO POSTO TEXACO EPDB,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (186422.9421998161 8244498.278010131)
Paradas de onibus.fid-70332a8e_1869e51a008_470b,2506,SHIS QI 3 APOS A ENTRADA DOS CONJ. 06 A 11 EPDB,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (188043.31921351183 8245159.637775489)
Paradas de onibus.fid-70332a8e_1869e51a008_470c,2479,SHIS QL 4 APOS ENTRADA CONJUNTO 3 EPDB,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (187969.47110694973 8245154.786595298)
Paradas de onibus.fid-70332a8e_1869e51a008_470d,2481,SHIS QL 02 ANTES DA ENTRADA CONJUNTO 7 EPDB,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (187443.96510416412 8244791.310815137)
Paradas de onibus.fid-70332a8e_1869e51a008_470e,2482,SHIS QL 02  APOS ENTRADA CONJUNTO 5 EPDB,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (186978.05746308484 8244683.3444944685)
Paradas de onibus.fid-70332a8e_1869e51a008_470f,2483,SHIS QL 02  ANTES DA ENTRADA CONJUNTO 02 EPDB,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (186651.08875996905 8244606.545521161)
Paradas de onibus.fid-70332a8e_1869e51a008_4710,2484,SHIS QL 02 APOS A ENTRADA CONJ. 1  EM FRENTE AO POSTO TEXACO EPDB,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (186398.0990803164 8244547.197103234)
Paradas de onibus.fid-70332a8e_1869e51a008_4711,2503,SHIS QI 1 ANTES DA ENTRADA CONJUNTO 01 A 04 EPDB,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (186886.90359091613 8244604.118158246)
Paradas de onibus.fid-70332a8e_1869e51a008_4712,2504,SHIS QI 3 DEPOIS DA DA ENTRADA DOS CONJ. 01 A 05 EPDB,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (187365.4406942288 8244720.661613353)
Paradas de onibus.fid-70332a8e_1869e51a008_4713,2505,SHIS QI 3 ANTES DA ENTRADA DOS CONJ. 06 A 11 EPDB,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (187756.5823354766 8244853.014924359)
Paradas de onibus.fid-70332a8e_1869e51a008_4714,2552,SHIS QI 05 EM FRENTE AO VI COMAR - INTERNA,ATIVA,SEM ESTRUTURA,Habitual,POINT (188690.6240414917 8244862.941527399)
Paradas de onibus.fid-70332a8e_1869e51a008_4715,2553,QI 5 ANTES ENTRADA CHACARA 01 A 06 EM FRENTE CRECHE N.S.DA PIEDADE ,ATIVA,SEM ESTRUTURA,Placa,POINT (188676.92218669644 8245133.615654335)
Paradas de onibus.fid-70332a8e_1869e51a008_4716,2480,SHIS  QL 4 APOS CONJUNTO 1 EPDB,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (187716.27080052329 8244888.391743858)
Paradas de onibus.fid-70332a8e_1869e51a008_4717,2497,EM FRENTE COMISSARIA AEREA BSB EPAR,ATIVA,ACOSTAMENTO OU BAIA,Especial,POINT (186918.2190981975 8243479.818306662)
Paradas de onibus.fid-70332a8e_1869e51a008_4718,2487,EM FRENTE HONDA AUTOHAUS LADO OPOSTO TRANSBRASIL EPAR,ATIVA,SEM ESTRUTURA,Cemusa,POINT (186411.3657160156 8243177.017434995)
Paradas de onibus.fid-70332a8e_1869e51a008_4719,2496,EM FRENTE AO  AEROPORTO EPAR,ATIVA,SEM ESTRUTURA,Especial,POINT (187056.97076755547 8243358.398470282)
Paradas de onibus.fid-70332a8e_1869e51a008_471a,2486,EM FRENTE LOCALIZA VEICULOS LADO OPOSTO TERMINAL 2 EPAR,ATIVA,SEM ESTRUTURA,Cemusa,POINT (186095.73993701203 8243152.267226573)
Paradas de onibus.fid-70332a8e_1869e51a008_471b,2498,EM FRENTE CORREIOS EPAR,ATIVA,SEM ESTRUTURA,Placa,POINT (186705.7690144697 8243373.592089372)
Paradas de onibus.fid-70332a8e_1869e51a008_471c,2499,EM FRENTE A ANTIGA TRANSBRASIL EPAR,ATIVA,SEM ESTRUTURA,Tipo C,POINT (186399.33678635035 8243259.176739297)
Paradas de onibus.fid-70332a8e_1869e51a008_471d,2500,EM FRENTE AEROPORTO TERMINAL 2 EPAR,ATIVA,SEM ESTRUTURA,Cemusa,POINT (185922.9084720225 8243220.464517978)
Paradas de onibus.fid-70332a8e_1869e51a008_471e,2488,EM FRENTE TERMINAL DE CARGA EPAR,ATIVA,ACOSTAMENTO OU BAIA,Especial,POINT (186935.58229464298 8243033.522822017)
Paradas de onibus.fid-70332a8e_1869e51a008_471f,2649,BL. 300 NB 1,ATIVA,SEM ESTRUTURA,Placa,POINT (182648.44083571486 8243601.692732114)
Paradas de onibus.fid-70332a8e_1869e51a008_4720,2672,EM FRENTE AO BL. 211 NB 1,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (182667.0353937631 8243631.849579091)
Paradas de onibus.fid-70332a8e_1869e51a008_4721,6057,FRENTE A RODA DO CHOPP EPNB,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (182246.62192737483 8243541.024817392)
Paradas de onibus.fid-70332a8e_1869e51a008_4722,6058,FRENTE AO BLOCO 440 EPNB,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (182433.86741592022 8243577.473177643)
Paradas de onibus.fid-70332a8e_1869e51a008_4723,6059,FRENTE AO BLOCO 91 EPNB,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (182855.29332448347 8243812.159147771)
Paradas de onibus.fid-70332a8e_1869e51a008_4724,6060,FRENTE AO MUSEO VIVO DA MEMÓRIA CANDANGA EPNB,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (183244.64736863296 8244210.784089262)
Paradas de onibus.fid-70332a8e_1869e51a008_4725,7698,SMPW - TRECHO 01 - 250 M AERO PARK,ATIVA,,Tipo C,POINT (185225.76085930003 8243651.1023711935)
Paradas de onibus.fid-70332a8e_1869e51a008_4726,2501,EM FRENTE HANGARES AVIACAO GERAL EPAR,ATIVA,ACOSTAMENTO OU BAIA,Cemusa,POINT (185533.90227317365 8243608.993393593)
Paradas de onibus.fid-70332a8e_1869e51a008_4727,2618,SMPW QD. 14 CONJ. 1 LOTE 2 EPDB / DF-025,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (184885.14169729425 8243696.924966235)
Paradas de onibus.fid-70332a8e_1869e51a008_4728,2619,APOS BALAO DO AEROPORTO EPDB / DF-025,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (185266.9220702685 8244001.49601493)
Paradas de onibus.fid-70332a8e_1869e51a008_4729,2620,SMPW LADO OPOSTO QD. 14 CONJ. 1 LOTE 2 (FLORICULTURA) EPDB / DF-025,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (184864.17618745405 8243722.7611061875)
Paradas de onibus.fid-70332a8e_1869e51a008_472a,2485,LADO OPOSTO HANGARES AVIACAO GERAL EPAR,ATIVA,SEM ESTRUTURA,Habitual,POINT (185482.7072158614 8243335.96123053)
